geoid10,pop19,pop22,black19,black22,hisp19,hisp22,perc19,perc22
36081029400,6827,8072,5929,5920,623,1106,95.97,87.04
36081029900,0,5,0,0,0,3,,60
36081030600,4058,4850,3532,3536,361,485,95.93,82.91
36081032000,5330,5200,4299,3864,510,633,90.23,86.48
36081032700,4112,3932,178,75,2592,2599,67.36,68.01
36081032800,2376,2660,2095,2152,141,216,94.11,89.02
36081032900,4071,4251,116,231,2214,2406,57.23,62.03
36081033000,7115,7365,6186,5705,676,751,96.44,87.66
36081033401,3516,4196,2995,3264,328,515,94.51,90.06
36081033402,13061,13250,11997,11762,631,613,96.68,93.4
36081033700,3555,3765,0,30,2564,2596,72.12,69.75
36081033900,3374,3481,254,83,2198,2141,72.67,63.89
36081034700,3394,3688,337,341,2210,2338,75.04,72.64
36081035100,4215,4178,139,165,2773,2691,69.09,68.36
36081035200,3044,2550,2565,2048,186,238,90.37,89.65
36081035300,2451,2828,281,297,1965,2103,91.64,84.87
36081035700,4204,5593,1067,1340,1946,2796,71.67,73.95
36081035800,4094,4508,3737,3719,214,360,96.51,90.48
36081036100,2956,2706,851,412,2002,1890,96.52,85.07
36081036300,2105,2462,263,319,1651,1824,90.93,87.04
36081036500,3822,4142,590,429,2909,3414,91.55,92.78
36081036600,3041,3003,2700,2347,138,327,93.32,89.04
36081036700,2644,3099,1170,772,1044,1688,83.74,79.38
36081036800,2446,2513,2129,2020,214,253,95.79,90.45
36081037100,1789,1917,512,486,914,992,79.71,77.1
36081037300,2500,2905,460,356,1500,2193,78.4,87.75
36081037500,3946,4257,99,92,3499,3676,91.18,88.51
36081037600,5979,6373,5431,5175,324,541,96.25,89.69
36081037700,3717,4493,372,334,3242,3937,97.23,95.06
36081037900,7287,6504,125,237,6848,5827,95.69,93.23
36081038100,7798,6202,904,686,6485,4932,94.76,90.58
36081038301,0,2,0,1,0,0,,50
36081038302,0,63,0,13,0,21,,53.97
36081038400,2420,2720,2059,2295,207,174,93.64,90.77
36081039400,3010,3332,2622,2652,224,359,94.55,90.37
36081039800,1731,1688,1593,1344,85,180,96.94,90.28
36081039900,4181,5160,157,520,3543,3841,88.5,84.52
36081040000,1476,1474,1393,1101,38,160,96.95,85.55
36081040100,8193,7655,114,109,6913,6549,85.77,86.98
36081040200,1617,1474,1524,1160,42,100,96.85,85.48
36081040300,7310,7528,8,69,6494,6567,88.95,88.15
36081040400,4316,4270,3788,3063,307,458,94.88,82.46
36081040500,3339,3358,6,64,3191,2994,95.75,91.07
36081040700,7632,8293,254,114,6849,7524,93.07,92.1
36081040900,6017,5485,120,77,5093,4805,86.64,89.01
36081041100,3873,4532,61,12,3136,3649,82.55,80.78
36081041300,4822,4752,0,32,3603,3953,74.72,83.86
36081041400,3677,4526,2663,2760,736,824,92.44,79.19
36081041500,3687,4365,39,70,2499,3587,68.84,83.78
36081042400,2612,2295,2440,1885,65,196,95.9,90.68
36081042600,512,364,214,190,66,44,54.69,64.29
36081042700,5242,4998,0,55,4259,3999,81.25,81.11
36081043200,1507,1280,1400,926,89,151,98.81,84.14
36081043400,1708,1717,1261,1210,139,196,81.97,81.89
36081043701,3780,3534,314,232,2774,2510,81.69,77.59
36081043702,6213,7008,1045,516,3501,4585,73.17,72.79
36081043900,4537,4931,34,44,3985,4296,88.58,88.01
36081044000,3821,4783,2762,2324,591,827,87.75,65.88
36081044301,3535,4725,237,336,2614,3378,80.65,78.6
36081044302,4748,5373,598,490,2279,2533,60.59,56.26
36081044400,3024,4562,741,924,1190,1687,63.86,57.23
36081044601,3119,4013,775,1113,1574,1763,75.31,71.67
36081044602,5082,5472,1299,1172,1556,1481,56.18,48.48
36081045500,13003,13200,7690,3990,2616,5172,79.26,69.41
36081046100,2988,2903,12,36,1271,1570,42.94,55.32
36081046300,3985,4541,20,37,2143,2925,54.28,65.23
36081046500,3680,4276,0,14,2901,3519,78.83,82.62
36081046700,6815,7281,87,97,4272,4495,63.96,63.07
36081046900,8205,8448,158,118,4180,4597,52.87,55.81
36081049200,4387,4834,2441,2070,547,777,68.11,58.9
36081050000,4444,4778,2882,2858,750,751,81.73,75.53
36081050201,1427,1678,1124,1057,199,273,92.71,79.26
36081050202,1357,1521,1000,864,140,177,84.01,68.44
36081050400,2018,1872,1783,1345,141,209,95.34,83.01
36081050600,1686,1635,1391,1056,99,196,88.37,76.57
36081050800,2072,2084,1687,1493,79,207,85.23,81.57
36081051000,2096,1616,1574,1029,123,199,80.96,75.99
36081051200,2925,2748,2106,1933,294,384,82.05,84.32
36081051600,1866,2074,1553,1555,273,255,97.86,87.27
36081051800,2441,1948,2177,1562,252,209,99.51,90.91
36081052000,1640,1593,1471,1262,101,121,95.85,86.82
36081052200,1854,1605,1705,1302,127,123,98.81,88.79
36081052400,1626,1945,1381,1536,154,179,94.4,88.17
36081052600,1980,1958,1451,1524,282,164,87.53,86.21
36081052800,1509,1563,1293,1259,93,143,91.85,89.7
36081053000,2311,2393,2103,1974,104,202,95.5,90.93
36081053200,1699,1886,1455,1484,79,155,90.29,86.9
36081053401,2016,2104,1732,1674,118,215,91.77,89.78
36081053500,1328,1058,0,18,1005,667,75.68,64.74
36081053601,1759,1458,1324,1072,235,154,88.63,84.09
36081053800,1720,1648,1563,1249,30,187,92.62,87.14
36081054000,4354,4632,2925,2783,661,722,82.36,75.67
36081054500,3813,3648,7,91,2355,2228,61.95,63.57
36081054700,5382,4166,106,174,3951,2414,75.38,62.12
36081054900,5503,4932,126,156,3966,2759,74.36,59.1
36081055200,3006,3076,1115,743,709,709,60.68,47.2
36081055300,2436,2856,62,195,1404,1399,60.18,55.81
36081055500,2348,1935,104,115,1743,1224,78.66,69.2
36081055700,3781,3966,25,128,2298,2149,61.44,57.41
36081055900,1401,1178,29,77,1149,717,84.08,67.4
36081056100,120,175,45,46,15,93,50,79.43
36081056500,1380,1681,10,71,1179,1298,86.16,81.44
36081056600,1703,1581,362,330,537,367,52.79,44.09
36081056700,4231,4751,108,75,2346,2687,58,58.14
36081056800,4439,4862,2933,2818,936,924,87.16,76.96
